iter	RMSE
0	57.36066012
1	52.74813659
2	48.53337838
3	44.65440176
4	41.09114294
5	37.83790268
6	34.84011922
7	32.08603337
8	29.56116407
9	27.24665034
10	25.12898839
11	23.18167028
12	21.39683812
13	19.76621972
14	18.2776329
15	16.90923331
16	15.66322898
17	14.51733569
18	13.47274435
19	12.52497735
20	11.64904047
21	10.85835593
22	10.14010661
23	9.485934478
24	8.880610337
25	8.340019172
26	7.852561545
27	7.399988613
28	7.003546367
29	6.63841073
30	6.314542887
31	6.023525463
32	5.755615641
33	5.521702161
34	5.316495417
35	5.130731468
36	4.964977788
37	4.817787164
38	4.687985348
39	4.576467289
40	4.473559037
41	4.382776755
42	4.302340606
43	4.234292013
44	4.171186946
45	4.117144857
46	4.065824786
47	4.021725936
48	3.983490215
49	3.947999385
50	3.917303992
51	3.891036718
52	3.867298188
53	3.84649175
54	3.827379657
55	3.810112574
56	3.794373378
57	3.778998529
58	3.767197226
59	3.756190053
60	3.746172191
61	3.737588243
62	3.728073979
63	3.720056881
64	3.711720056
65	3.70447781
66	3.697659379
67	3.690811463
68	3.684960172
69	3.679904388
70	3.674209106
71	3.669125242
72	3.662844823
73	3.65833225
74	3.652943686
75	3.648621197
76	3.645363552
77	3.641222553
78	3.637019025
79	3.633956727
80	3.63107783
81	3.627547335
82	3.62487527
83	3.621560131
84	3.619007047
85	3.616757716
86	3.613474606
87	3.610505816
88	3.607825475
89	3.605564659
90	3.602920236
91	3.599964221
92	3.597648642
93	3.595710329
94	3.594224068
95	3.592206772
96	3.590335207
97	3.588306167
98	3.586114735
99	3.584016872
100	3.582314389
101	3.580184638
102	3.578252208
103	3.575950582
104	3.57407808
105	3.57193421
106	3.570142702
107	3.568279021
108	3.566822944
109	3.565081068
110	3.56358987
111	3.561816254
112	3.560469632
113	3.558837916
114	3.557387177
115	3.555597353
116	3.554256455
117	3.552788481
118	3.550822731
119	3.549621306
120	3.548230728
121	3.546831253
122	3.545418307
123	3.543779862
124	3.54247243
125	3.541103455
126	3.539956049
127	3.538478604
128	3.537222793
129	3.536031747
130	3.535101887
131	3.533906502
132	3.532682203
133	3.531202
134	3.530019066
135	3.528372349
136	3.526881936
137	3.525887333
138	3.5246894
139	3.523503132
140	3.522174934
141	3.520939902
142	3.519655958
143	3.518577851
144	3.517273806
145	3.516529481
146	3.514826791
147	3.513544724
148	3.51235129
149	3.511253437
150	3.510240707
151	3.509078702
152	3.508393809
153	3.507261525
154	3.506041325
155	3.505055101
156	3.503953557
157	3.502797872
158	3.501630723
