iter	Passed	Remaining
0	54	87128
1	106	84479
2	156	82826
3	208	82882
4	259	82579
5	311	82397
6	362	82138
7	416	82478
8	467	82278
9	520	82385
10	572	82331
11	623	82251
12	674	82045
13	723	81629
14	771	81232
15	821	80991
16	871	80860
17	922	80751
18	973	80679
19	1021	80425
20	1071	80274
21	1120	80038
22	1170	79977
23	1221	79877
24	1270	79746
25	1319	79549
26	1369	79462
27	1418	79350
28	1468	79254
29	1517	79095
30	1565	78944
31	1614	78785
32	1665	78806
33	1715	78693
34	1765	78618
35	1812	78452
36	1861	78326
37	1910	78213
38	1960	78162
39	2008	78045
40	2056	77914
41	2106	77845
42	2156	77767
43	2204	77642
44	2252	77545
45	2301	77438
46	2351	77384
47	2400	77315
48	2449	77226
49	2498	77139
50	2546	77036
51	2595	76959
52	2644	76885
53	2699	76982
54	2748	76909
55	2798	76847
56	2848	76809
57	2899	76778
58	2949	76734
59	2997	76634
60	3044	76522
61	3094	76457
62	3143	76383
63	3192	76324
64	3240	76224
65	3290	76185
66	3338	76089
67	3388	76037
68	3436	75945
69	3484	75867
70	3532	75778
71	3581	75717
72	3630	75646
73	3679	75571
74	3731	75572
75	3780	75508
76	3830	75465
77	3878	75380
78	3927	75310
79	3975	75241
80	4025	75187
81	4071	75083
82	4121	75032
83	4169	74957
84	4219	74900
85	4266	74805
86	4315	74758
87	4364	74692
88	4414	74648
89	4462	74565
90	4509	74484
91	4559	74432
92	4607	74364
93	4654	74271
94	4702	74203
95	4754	74191
96	4802	74121
97	4853	74083
98	4900	73995
99	4946	73900
100	4994	73836
101	5042	73757
102	5090	73692
103	5138	73622
104	5185	73540
105	5233	73469
106	5284	73438
107	5333	73388
108	5383	73338
109	5432	73282
110	5481	73230
111	5527	73142
112	5576	73090
113	5624	73025
114	5674	72978
115	5721	72901
116	5773	72881
117	5821	72824
118	5870	72766
119	5919	72716
120	5968	72654
121	6033	72795
122	6082	72746
123	6131	72683
124	6180	72636
125	6230	72589
126	6279	72535
127	6327	72465
128	6376	72417
129	6425	72364
130	6472	72282
131	6521	72230
132	6569	72166
133	6618	72113
134	6667	72053
135	6716	72005
136	6763	71933
137	6816	71920
138	6865	71865
139	6914	71813
140	6962	71748
141	7009	71676
142	7058	71621
143	7105	71545
144	7153	71483
145	7201	71423
146	7253	71403
147	7301	71339
148	7349	71277
149	7396	71208
150	7446	71157
151	7494	71098
152	7542	71037
153	7592	70999
154	7643	70958
155	7691	70901
156	7740	70843
157	7787	70774
158	7838	70743
159	7885	70673
160	7934	70622
161	7983	70567
162	8031	70509
163	8082	70474
164	8130	70415
165	8182	70391
166	8230	70327
167	8278	70264
168	8324	70194
169	8372	70132
170	8420	70076
171	8469	70023
172	8516	69954
173	8563	69888
174	8612	69833
175	8659	69771
176	8708	69714
177	8756	69662
178	8806	69613
179	8856	69574
180	8905	69520
181	8952	69453
182	9001	69408
183	9048	69341
184	9096	69283
185	9146	69240
186	9196	69198
187	9245	69143
188	9294	69090
189	9343	69039
190	9391	68984
191	9440	68935
192	9487	68869
193	9535	68812
194	9583	68758
195	9631	68697
196	9678	68632
197	9726	68578
198	9774	68517
199	9822	68459
200	9873	68428
201	9923	68381
202	9971	68326
203	10019	68268
204	10066	68209
205	10114	68148
206	10161	68085
207	10210	68036
208	10258	67983
209	10308	67935
210	10357	67887
211	10405	67835
212	10453	67773
213	10502	67723
214	10550	67667
215	10598	67613
216	10646	67557
217	10694	67500
218	10741	67441
219	10790	67392
220	10839	67342
221	10892	67316
222	10940	67262
223	10989	67214
224	11035	67147
225	11084	67092
226	11133	67044
227	11182	66995
228	11232	66953
229	11281	66902
230	11329	66848
231	11377	66793
232	11426	66744
233	11474	66691
234	11524	66644
235	11573	66596
236	11621	66539
237	11674	66515
238	11725	66477
239	11775	66434
240	11827	66399
241	11877	66354
242	11930	66329
243	11979	66281
244	12029	66235
245	12077	66180
246	12129	66145
247	12177	66090
248	12223	66027
249	12273	65983
250	12323	65936
251	12373	65896
252	12421	65839
253	12471	65794
254	12519	65741
255	12569	65692
256	12617	65637
257	12666	65593
258	12714	65534
259	12762	65483
260	12809	65422
261	12860	65380
262	12908	65329
263	12961	65300
264	13009	65246
265	13058	65196
266	13107	65143
267	13155	65091
268	13202	65030
269	13250	64976
270	13298	64920
271	13345	64864
272	13394	64814
273	13443	64763
274	13492	64713
275	13539	64657
276	13587	64603
277	13637	64556
278	13686	64508
279	13734	64453
280	13783	64404
281	13831	64351
282	13882	64311
283	13929	64253
284	13980	64212
285	14028	64160
286	14075	64101
287	14125	64053
288	14173	64002
289	14221	63946
290	14269	63892
291	14317	63840
292	14363	63778
293	14413	63731
294	14460	63674
295	14508	63623
296	14556	63567
297	14606	63523
298	14655	63473
299	14703	63420
300	14753	63378
301	14803	63332
302	14852	63284
303	14902	63239
304	14952	63194
305	15004	63155
306	15055	63115
307	15102	63059
308	15149	63001
309	15198	62949
310	15247	62903
311	15294	62846
312	15342	62792
313	15391	62743
314	15440	62695
315	15489	62645
316	15538	62593
317	15586	62542
318	15632	62480
319	15679	62423
320	15727	62371
321	15774	62313
322	15825	62272
323	15874	62223
324	15921	62168
325	15969	62116
326	16021	62077
327	16068	62022
328	16117	61970
329	16166	61921
330	16216	61875
331	16265	61826
332	16312	61773
333	16359	61716
334	16407	61663
335	16458	61619
336	16506	61570
337	16556	61523
338	16604	61470
339	16651	61415
340	16699	61361
341	16748	61314
342	16797	61263
343	16845	61210
344	16892	61155
345	16940	61103
346	16989	61055
347	17042	61021
348	17090	60966
349	17139	60918
350	17188	60868
351	17234	60811
352	17282	60757
353	17331	60710
354	17380	60660
355	17429	60610
356	17477	60559
357	17523	60501
358	17572	60452
359	17619	60395
360	17666	60340
361	17715	60290
362	17764	60242
363	17812	60190
364	17862	60146
365	17911	60096
366	17962	60053
367	18011	60004
368	18062	59963
369	18111	59913
370	18160	59867
371	18208	59813
372	18256	59761
373	18304	59708
374	18353	59661
375	18403	59615
376	18452	59565
377	18501	59517
378	18549	59465
379	18596	59410
380	18645	59361
381	18693	59311
382	18743	59263
383	18792	59215
384	18841	59168
385	18889	59114
386	18939	59069
387	18987	59016
388	19035	58965
389	19088	58929
390	19137	58879
391	19186	58831
392	19235	58784
393	19285	58738
394	19334	58689
395	19383	58638
396	19432	58591
397	19480	58539
398	19529	58489
399	19578	58441
400	19627	58392
401	19675	58342
402	19725	58294
403	19771	58237
404	19817	58180
405	19867	58133
406	19915	58083
407	19964	58034
408	20011	57979
409	20060	57929
410	20111	57887
411	20159	57837
412	20209	57791
413	20258	57740
414	20308	57695
415	20356	57644
416	20405	57596
417	20454	57545
418	20502	57494
419	20549	57441
420	20598	57392
421	20647	57342
422	20697	57297
423	20746	57248
424	20793	57195
425	20843	57148
426	20891	57097
427	20938	57043
428	20987	56994
429	21037	56948
430	21085	56896
431	21139	56860
432	21187	56809
433	21236	56759
434	21283	56708
435	21333	56661
436	21384	56616
437	21431	56562
438	21480	56515
439	21529	56467
440	21578	56417
441	21627	56368
442	21677	56322
443	21726	56272
444	21775	56223
445	21822	56171
446	21869	56117
447	21918	56067
448	21966	56015
449	22014	55965
450	22062	55913
451	22112	55867
452	22164	55826
453	22213	55778
454	22262	55728
455	22309	55675
456	22359	55628
457	22405	55574
458	22454	55525
459	22503	55475
460	22552	55426
461	22600	55374
462	22649	55327
463	22697	55275
464	22745	55224
465	22795	55178
466	22843	55128
467	22893	55080
468	22942	55033
469	22994	54991
470	23042	54940
471	23092	54894
472	23142	54846
473	23192	54800
474	23241	54752
475	23290	54702
476	23338	54651
477	23386	54601
478	23433	54548
479	23481	54495
480	23529	54444
481	23576	54393
482	23627	54347
483	23676	54300
484	23725	54251
485	23773	54199
486	23821	54148
487	23870	54098
488	23918	54047
489	23966	53998
490	24016	53951
491	24066	53904
492	24116	53858
493	24163	53806
494	24216	53765
495	24266	53719
496	24314	53667
497	24363	53618
498	24411	53567
499	24461	53521
500	24509	53470
501	24558	53422
502	24605	53369
503	24656	53323
504	24704	53274
505	24753	53224
506	24800	53172
507	24851	53126
508	24898	53073
509	24946	53023
510	24995	52975
511	25045	52927
512	25093	52877
513	25140	52825
514	25191	52779
515	25242	52736
516	25291	52686
517	25341	52640
518	25390	52590
519	25438	52539
520	25486	52489
521	25536	52442
522	25586	52396
523	25633	52343
524	25681	52292
525	25731	52245
526	25779	52195
527	25828	52147
528	25876	52095
529	25924	52044
530	25973	51996
531	26024	51950
532	26071	51898
533	26120	51850
534	26169	51800
535	26218	51751
536	26270	51708
537	26317	51657
538	26366	51607
539	26414	51557
540	26462	51506
541	26510	51455
542	26560	51408
543	26608	51357
544	26656	51307
545	26705	51259
546	26754	51210
547	26804	51162
548	26852	51112
549	26900	51062
550	26950	51015
551	27001	50970
552	27050	50921
553	27100	50873
554	27148	50824
555	27197	50775
556	27246	50727
557	27298	50683
558	27349	50637
559	27398	50589
560	27449	50543
561	27498	50495
562	27548	50447
563	27597	50399
564	27648	50353
565	27697	50305
566	27747	50259
567	27796	50208
568	27844	50159
569	27892	50108
570	27940	50057
571	27988	50007
572	28036	49956
573	28086	49910
574	28136	49862
575	28183	49810
576	28232	49762
577	28282	49713
578	28334	49671
579	28383	49622
580	28433	49574
581	28480	49522
582	28529	49473
583	28578	49425
584	28626	49374
585	28675	49326
586	28724	49277
587	28773	49228
588	28822	49179
589	28870	49129
590	28919	49080
591	28968	49030
592	29015	48978
593	29063	48927
594	29111	48877
